id	org	prod0	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	sales	daysLate
0	g	26	7	3	23	31	10	77	22	2	3	204	24
1	g	9	10	2	28	31	28	77	21	1	4	211	9
2	b	52	6	3	17	23	41	60	30	4	10	246	29
3	g	38	8	3	31	31	35	83	42	1	6	278	23
4	g	13	11	4	30	15	16	81	42	3	4	219	21
5	g	20	4	4	39	24	32	89	46	3	3	264	23
6	b	72	11	3	22	30	40	84	8	4	6	280	22
7	g	5	7	2	35	32	10	48	28	3	5	175	17
8	g	29	11	3	28	33	36	35	48	1	6	230	6
9	g	41	8	2	38	20	25	44	23	1	7	209	26
10	g	38	10	4	24	16	33	92	36	2	2	257	14
11	g	7	9	4	27	18	31	78	27	1	3	205	7
12	g	7	8	3	37	36	24	34	43	1	6	199	28
13	g	40	5	4	22	20	25	45	36	3	1	201	23
14	g	39	6	3	23	15	28	81	32	3	1	231	12
15	g	43	4	2	35	19	19	43	27	3	6	201	15
16	b	33	9	4	28	26	24	33	20	0	5	182	14
17	g	27	9	3	33	13	29	65	41	3	4	227	8
18	g	37	7	2	34	36	15	66	48	3	6	254	6
19	g	38	5	2	30	20	31	79	44	2	4	255	6
20	g	22	9	4	28	20	23	53	22	2	3	186	6
21	g	37	12	3	35	17	37	76	29	3	5	254	24
22	b	36	7	4	31	13	17	72	48	1	3	232	8
23	g	7	12	4	20	13	30	71	45	3	2	207	1
24	g	33	11	5	31	22	38	72	31	3	1	247	20
25	g	44	11	2	22	16	18	82	41	3	3	242	15
26	g	8	7	3	42	26	20	75	48	1	2	232	25
27	g	17	8	4	27	22	19	63	29	0	2	191	21
28	g	11	11	2	31	30	20	86	24	2	2	219	28
29	g	19	8	5	33	13	17	69	32	3	4	203	22
30	b	62	7	3	13	32	25	52	36	4	6	240	25
31	b	42	7	2	16	15	35	81	31	4	5	238	7
32	g	23	5	2	38	37	33	64	27	2	3	234	16
33	g	28	10	3	36	20	34	34	27	1	2	195	28
34	g	44	10	5	41	23	29	67	21	1	3	244	10
35	g	34	11	5	25	27	32	64	25	2	3	228	1
36	g	27	9	1	20	29	16	66	41	2	3	214	28
37	g	14	11	3	28	27	14	58	36	3	3	197	25
38	b	5	5	5	20	23	11	51	45	1	6	172	18
39	g	17	7	2	31	19	19	42	44	3	7	191	23
40	b	42	11	2	22	35	15	46	26	3	4	206	12
41	g	18	4	3	34	37	18	42	40	2	4	202	2
42	b	40	7	2	23	26	23	33	39	1	1	195	24
43	g	27	8	2	22	15	12	87	36	1	4	214	23
44	g	30	4	2	29	20	30	44	36	3	2	200	1
45	g	17	4	2	39	16	30	74	34	2	7	225	0
46	g	41	9	4	26	18	34	73	21	2	1	229	7
47	g	6	12	5	39	34	33	48	20	2	5	204	21
48	g	39	7	2	30	28	22	41	36	3	1	209	7
49	g	5	5	2	30	29	32	37	40	3	1	184	26
50	g	23	6	3	39	24	17	68	30	2	5	217	35
51	b	59	10	2	3	24	52	89	17	4	8	268	12
52	g	42	9	3	39	15	20	70	40	2	3	243	70
53	g	58	6	1	3	14	26	50	19	3	10	190	83
54	b	74	4	5	3	26	27	84	12	4	5	244	6
55	g	29	10	1	23	34	39	41	30	2	5	214	25
56	g	22	12	2	40	19	30	77	42	1	3	248	1
57	g	34	5	4	28	13	38	55	22	2	1	202	22
58	g	29	5	3	33	25	33	35	22	1	3	189	2
59	g	13	12	4	28	22	9	47	37	1	5	178	31
60	b	37	10	2	12	26	51	39	17	4	8	206	26
61	g	25	10	4	24	20	34	54	47	2	5	225	29
62	g	30	7	2	38	37	36	89	28	1	3	271	22
63	g	26	10	3	20	26	24	31	33	1	5	179	3
64	g	18	6	5	41	34	33	34	21	3	2	197	11
65	b	54	6	4	20	26	31	32	30	3	9	215	6
66	g	30	11	4	28	20	25	35	26	1	7	187	20
67	g	36	4	4	33	13	14	86	44	3	4	241	23
68	b	76	7	3	24	16	31	84	26	2	5	274	17
69	g	18	9	2	34	12	12	83	35	2	6	213	22
70	g	38	9	2	20	20	40	60	43	3	7	242	28
71	g	41	5	3	29	23	26	66	31	3	4	231	7
72	b	75	11	4	7	14	51	86	30	4	8	290	15
73	g	33	5	3	38	13	28	81	42	3	2	248	27
74	g	19	13	4	28	23	33	43	42	3	5	213	18
75	g	32	10	2	25	21	37	87	21	3	2	240	0
76	g	40	12	5	24	19	10	73	22	2	5	212	27
77	g	43	9	3	29	18	24	55	33	3	1	218	70
78	b	48	9	2	11	27	25	76	30	3	9	240	50
79	b	44	12	4	14	28	38	77	22	3	8	250	26
80	g	30	11	2	38	14	24	41	29	2	4	195	21
81	g	34	11	2	28	18	36	79	22	3	5	238	12
82	g	35	6	4	30	21	11	45	26	3	5	186	28
83	g	33	7	3	26	30	12	84	31	1	3	230	2
84	g	21	8	5	41	25	36	85	25	2	6	254	25
85	g	28	5	2	32	26	19	56	36	3	5	212	9
86	b	35	6	3	34	37	12	74	47	4	2	254	4
87	g	10	11	5	40	29	27	90	37	3	6	258	2
88	g	28	10	4	38	35	29	82	39	1	5	271	12
89	g	15	6	5	24	29	37	52	44	1	2	215	11
90	g	44	12	5	33	27	30	75	39	3	7	275	7
91	b	61	5	2	8	24	51	82	21	5	8	267	12
92	b	43	7	4	6	24	51	44	15	2	10	206	6
93	b	10	8	3	31	35	38	32	31	2	5	195	23
94	g	27	13	5	27	33	18	48	22	3	2	198	5
95	g	17	6	2	29	33	15	73	23	2	1	201	85
96	b	63	6	2	10	16	28	37	11	2	10	185	11
97	g	5	9	3	29	30	10	53	45	3	6	193	43
98	b	49	9	1	3	13	22	80	25	2	9	213	24
99	g	8	12	2	31	36	17	59	35	1	5	206	34
100	b	41	7	3	7	23	42	35	28	2	10	198	20
101	g	25	11	5	37	15	37	45	22	3	4	204	1
102	g	12	11	3	41	22	31	60	20	1	3	204	29
103	g	22	9	2	26	26	37	76	34	3	2	237	61
104	b	47	12	4	12	36	36	42	16	3	7	215	26
105	b	72	13	1	18	23	40	90	16	3	5	281	60
106	b	55	9	4	8	25	49	59	29	4	6	248	2
107	g	33	6	2	29	20	19	51	37	3	7	207	3
108	g	4	5	2	23	22	26	81	38	1	6	208	12
109	g	29	11	5	40	37	26	44	46	1	6	245	18
110	g	26	12	3	27	14	21	70	28	3	5	209	6
111	g	23	11	3	25	29	10	79	34	3	4	221	8
112	b	75	5	3	16	21	43	48	32	3	9	255	19
113	b	61	11	4	22	31	36	54	30	4	8	261	9
114	g	27	7	5	41	31	23	81	46	2	4	267	3
115	g	41	8	3	31	35	29	58	31	2	5	243	87
116	b	65	6	1	13	33	36	44	29	4	7	238	68
117	g	58	11	2	3	34	40	65	34	3	7	257	13
118	b	16	10	4	26	31	9	72	42	3	2	215	9
119	g	26	10	4	31	28	24	67	48	3	6	247	28
120	b	68	12	4	12	37	26	45	26	3	6	239	49
121	b	57	7	2	17	38	37	57	10	3	9	237	17
122	g	35	12	3	26	16	24	89	43	1	2	251	3
123	b	69	9	2	5	25	35	37	10	3	7	202	5
124	g	28	9	3	21	37	9	43	30	3	3	186	72
125	b	58	7	2	12	28	52	84	32	4	8	287	69
126	b	70	8	4	9	17	34	55	26	3	10	236	32
127	b	64	8	3	18	27	46	57	20	2	6	251	19
128	g	9	12	2	32	18	32	48	37	1	3	194	17
129	g	16	5	1	23	35	38	32	40	3	3	196	17
130	g	19	5	1	42	20	11	80	30	2	5	215	2
131	b	56	10	3	23	31	23	81	12	5	8	252	24
132	g	36	6	4	39	34	18	61	25	3	2	228	23
133	g	42	6	3	23	28	39	38	24	3	4	210	19
134	g	14	8	2	32	19	18	80	28	2	6	209	9
135	g	15	8	3	25	27	33	47	47	2	2	209	79
136	b	65	8	3	15	23	48	61	36	4	8	271	0
137	g	10	11	2	24	23	29	51	25	1	2	178	0
138	g	33	11	4	41	17	20	65	41	3	3	238	1
139	b	36	9	5	24	35	9	66	44	1	6	235	1
140	g	25	12	3	29	28	37	77	47	1	1	260	4
141	g	39	11	3	32	22	19	59	44	1	2	232	37
142	b	40	8	4	12	22	29	60	31	4	6	216	19
143	b	52	8	3	3	15	49	43	12	3	8	196	11
144	g	31	9	5	30	35	39	57	30	3	3	242	15
145	g	43	10	5	39	22	29	36	39	2	5	230	42
146	b	49	5	3	21	18	31	40	26	3	7	203	28
147	g	35	8	1	32	29	17	46	43	2	6	219	1
148	b	48	12	1	7	34	22	65	25	3	6	223	7
149	b	40	12	4	19	36	48	80	26	2	5	272	62
150	b	74	10	3	23	25	42	88	16	2	10	293	25
151	g	32	6	2	38	19	40	63	28	1	3	232	76
152	b	45	10	4	2	30	43	53	11	3	5	206	18
153	g	26	6	3	32	34	40	51	28	1	3	224	3
154	g	8	12	3	33	34	13	40	42	1	6	192	5
155	g	19	5	4	25	13	30	53	30	3	1	183	14
156	b	44	12	5	7	15	22	81	30	2	6	224	4
157	g	24	11	4	25	22	35	79	27	2	7	236	19
158	g	37	12	3	23	24	37	41	31	2	1	211	20
159	g	22	8	4	41	23	36	35	31	3	6	209	66
160	b	37	11	2	2	25	31	75	20	4	6	213	16
161	g	18	10	4	37	25	12	58	46	1	1	212	3
162	g	38	10	2	32	33	28	83	34	2	6	268	27
163	g	5	10	5	42	27	37	80	39	3	2	250	28
164	g	5	8	2	32	21	13	35	36	3	6	161	16
165	g	37	4	2	25	22	9	68	33	2	1	203	17
166	g	32	5	4	34	22	28	90	35	3	3	256	25
167	g	5	4	3	38	31	9	51	47	1	3	192	13
168	g	15	6	5	42	37	31	42	48	1	7	234	8
169	g	44	9	3	33	24	35	71	30	2	2	253	14
170	g	17	9	3	30	28	25	77	21	2	1	213	26
171	g	27	5	3	40	29	29	39	46	1	3	222	2
172	b	58	8	4	16	31	32	45	26	2	6	228	57
173	b	69	7	5	22	33	38	38	25	4	9	250	23
174	g	18	5	4	34	22	39	64	34	2	6	228	49
175	b	52	8	4	16	35	32	72	32	4	7	262	4
176	g	34	4	2	39	16	12	87	24	2	5	225	24
177	g	10	9	3	42	13	28	71	21	3	5	205	72
178	b	40	11	4	13	38	44	45	29	3	11	238	8
179	g	29	10	4	40	36	13	77	29	2	7	247	78
180	b	59	9	3	10	18	44	48	25	3	10	229	65
181	b	74	11	3	24	18	24	85	11	2	8	260	26
182	g	30	11	2	41	17	22	31	46	2	7	209	23
183	b	12	10	2	34	25	14	54	34	3	1	189	8
184	g	6	9	3	40	34	36	58	38	2	6	232	20
185	g	61	7	5	19	24	25	84	23	4	10	262	27
186	g	40	12	2	38	30	13	68	34	2	4	243	69
187	b	68	6	5	4	34	51	67	34	2	6	277	23
188	g	5	9	4	27	31	39	43	40	3	3	204	19
189	g	16	11	3	21	29	22	59	39	2	6	208	10
190	g	41	5	2	13	33	27	92	26	2	10	251	3
191	g	40	5	4	23	24	38	88	29	3	2	256	72
192	b	47	6	3	3	27	29	83	34	2	6	240	10
193	g	16	11	4	21	15	28	79	47	3	6	230	80
194	b	57	11	4	24	28	43	48	32	2	6	255	12
195	g	4	9	4	34	29	40	79	32	3	3	237	49
196	b	49	11	1	11	29	50	34	9	2	10	206	10
197	b	44	9	4	16	15	44	73	18	4	8	235	14
198	g	40	6	2	33	14	13	42	27	3	4	184	72
199	b	53	4	5	18	20	37	81	31	3	6	258	2
200	g	27	8	4	39	30	19	50	20	1	6	204	18
201	b	66	5	3	19	30	35	85	24	3	7	277	0
202	g	22	10	3	28	13	14	59	23	1	3	176	16
203	g	42	9	2	33	15	19	80	41	2	3	246	3
204	g	42	8	2	34	18	31	47	38	3	2	225	5
205	b	67	10	3	12	27	41	39	35	4	7	245	20
206	g	7	6	3	22	19	26	35	47	1	7	173	9
207	g	31	9	3	22	22	33	87	24	2	2	235	16
208	g	21	8	4	33	34	31	39	24	1	2	197	20
209	g	22	12	3	42	15	10	70	27	3	1	205	19
210	g	44	9	1	27	14	31	86	33	1	2	248	25
211	g	15	10	2	31	30	27	60	37	0	1	213	8
212	g	42	9	2	42	24	13	91	33	2	4	262	26
213	g	18	8	4	21	22	39	64	44	3	4	227	20
214	g	15	7	4	27	23	22	62	37	1	1	199	23
215	b	5	9	4	29	37	17	42	45	2	2	192	25
216	g	29	8	2	22	37	18	48	35	1	2	202	11
217	g	29	12	4	20	17	28	43	22	3	7	185	14
218	g	44	9	5	40	21	27	37	20	1	5	209	5
219	g	7	5	3	34	32	15	72	43	1	6	218	27
220	b	64	4	3	15	31	46	71	9	4	8	255	9
221	g	14	5	3	26	20	11	66	46	1	3	195	14
222	g	30	7	3	22	18	19	66	39	1	5	210	1
223	g	18	4	3	27	19	37	89	40	1	1	239	0
224	g	34	12	5	42	24	15	32	22	3	5	194	50
225	b	73	11	4	16	16	47	34	32	4	11	248	41
226	b	45	5	4	22	14	34	71	30	3	9	237	19
227	g	23	5	3	42	18	35	81	37	2	1	247	6
228	g	41	10	4	42	28	14	80	22	1	2	244	62
229	b	60	9	5	24	16	23	54	29	5	6	231	23
230	b	44	6	3	18	13	22	40	35	4	7	192	64
231	b	72	9	5	23	23	40	71	13	3	9	268	89
232	b	73	12	5	24	32	38	50	24	3	9	270	4
233	b	17	11	2	21	37	20	57	33	2	4	204	7
234	b	15	9	4	24	34	27	34	30	2	4	183	14
235	g	39	9	3	22	31	10	83	41	2	5	245	18
236	g	31	10	5	33	32	24	83	46	0	4	268	36
237	b	74	9	3	21	33	29	61	10	4	5	249	23
238	g	25	4	4	31	30	28	86	39	2	3	252	18
239	g	40	5	3	22	18	15	89	20	1	3	216	3
240	g	26	12	2	28	21	14	55	26	2	6	192	2
241	g	25	10	5	30	19	32	69	41	2	2	235	9
242	g	11	11	5	24	27	20	67	25	3	6	199	1
243	g	31	11	2	36	31	20	48	36	1	3	219	20
244	g	16	10	3	34	18	9	40	34	1	2	167	26
245	b	6	7	4	30	13	14	73	35	1	1	184	5
246	g	34	9	2	28	31	19	85	44	2	6	260	11
247	g	18	8	3	29	14	20	62	46	2	6	208	0
248	g	25	9	4	20	33	31	88	26	1	4	241	11
249	g	42	4	2	26	21	23	35	39	2	7	201	8
250	g	24	12	4	21	23	11	75	47	3	3	223	21
251	g	33	12	1	39	20	28	69	44	3	4	253	79
252	b	45	7	5	16	15	39	50	29	4	10	220	1
253	g	22	8	4	27	21	15	33	40	3	1	174	80
254	b	37	12	1	22	35	53	67	24	2	5	258	15
255	g	43	6	5	30	23	22	32	25	1	2	189	17
256	g	26	12	4	35	31	11	50	30	3	5	207	88
257	b	46	9	2	6	28	43	59	14	2	11	220	13
258	g	6	9	3	37	18	35	60	35	3	3	209	2
259	g	42	7	3	21	14	28	84	38	3	7	247	29
260	g	43	5	2	20	20	17	57	44	3	2	213	23
261	b	36	7	2	42	38	33	92	26	3	2	281	7
262	g	8	9	3	42	20	11	76	37	3	3	212	8
263	g	19	10	4	34	26	25	87	44	2	7	258	20
